,frame,ficTracTReadMs,ficTracTWriteMs,dx,dy,dz
253,130.0,829.0,829.0,-0.001846544211730361,0.0018579824827611446,0.005472609773278236
254,130.0,832.0,832.0,0.006640889216214418,0.003726131282746792,0.005935328546911478
255,131.0,835.0,835.0,0.01617439091205597,0.009817097336053848,0.021832123398780823
256,131.0,837.0,837.0,0.015994280576705933,0.006815537344664335,0.03204136714339256
257,132.0,840.0,840.0,0.007885067723691463,0.005702302325516939,0.0043820044957101345
258,132.0,844.0,844.0,-0.005286344327032566,-0.004279996734112501,-0.00031693142955191433
259,133.0,846.0,846.0,0.0029184750746935606,-0.0016096163308247924,-0.004784952849149704
260,133.0,849.0,849.0,-0.0014320226619020104,-0.002159511437639594,0.011256049387156963
261,133.0,852.0,852.0,-0.0036160482559353113,-0.0032901661470532417,0.005957301240414381
262,134.0,856.0,856.0,0.012922240421175957,0.0007606781437061727,0.015044749714434147
263,134.0,859.0,859.0,0.0010025043739005923,0.003798027755692601,0.005511464085429907
264,135.0,862.0,862.0,-0.0005879861419089139,0.00457752263173461,0.0031710616312921047
265,135.0,865.0,865.0,0.006538596469908953,0.006407251115888357,0.005876428447663784
266,136.0,868.0,868.0,0.011809573508799076,-0.0030485603492707014,0.025481536984443665
267,136.0,871.0,871.0,0.004425199702382088,0.026091910898685455,-0.0021658733021467924
268,137.0,875.0,875.0,-0.0027521972078830004,0.00106042658444494,0.008809205144643784
269,137.0,878.0,878.0,-0.004817589186131954,0.013326164335012436,-0.005963986273854971
270,137.0,880.0,880.0,-0.0009554294520057738,-0.009775280952453613,0.0032358597964048386
271,138.0,883.0,883.0,-0.009895533323287964,0.004044941160827875,0.010601787827908993
272,138.0,886.0,886.0,0.009463250637054443,0.008872444741427898,-0.007249815855175257
273,139.0,889.0,889.0,0.007599382661283016,0.009354637004435062,0.022078026086091995
274,139.0,892.0,892.0,0.0028325936291366816,0.0038267429918050766,0.010554762557148933
275,140.0,896.0,896.0,0.009543037973344326,-0.013367455452680588,0.004482478369027376
276,140.0,898.0,898.0,0.009566633962094784,0.009527520276606083,0.0016863171476870775
277,141.0,902.0,902.0,-0.024659568443894386,-0.007670158054679632,-0.00246685859747231
278,141.0,905.0,905.0,0.00865524634718895,-0.0010514927562326193,0.0023733896669000387
279,141.0,908.0,908.0,0.00593855744227767,-0.0026130429469048977,0.0031818316783756018
280,142.0,911.0,911.0,-0.0035236612893640995,-0.010313495993614197,0.018873317167162895
281,142.0,914.0,914.0,-0.0011757563333958387,0.0006882012239657342,0.0006716926000081003
282,143.0,917.0,917.0,0.0030632915440946817,-0.0018629271071404219,-0.000605145818553865
283,143.0,920.0,920.0,0.0015244195237755775,-0.0020896836649626493,0.000316295656375587
284,144.0,923.0,923.0,0.0014546873280778527,-0.0003041329327970743,0.004141547717154026
285,144.0,926.0,926.0,-0.005055958405137062,0.020815925672650337,-0.0031200384255498648
286,144.0,929.0,929.0,-0.008490991778671741,-0.0023995605297386646,0.008080062456429005
287,145.0,932.0,932.0,-0.009988135658204556,0.008656279183924198,-0.0032823511864989996
288,145.0,935.0,935.0,-0.0021303570829331875,0.0025561668444424868,0.0034046764485538006
289,146.0,938.0,938.0,-0.0014179530553519726,0.0030661458149552345,0.006439722143113613
290,147.0,945.0,945.0,0.0015186317032203078,0.004334141034632921,-0.009715731255710125
291,147.0,947.0,947.0,0.005543864797800779,-0.0020572475623339415,-0.000462673808215186
292,147.0,950.0,950.0,0.005124788265675306,-0.0014485853025689721,-0.0012798551470041275
293,148.0,954.0,954.0,-0.013301825150847435,0.001361787784844637,0.0026530197355896235
294,148.0,956.0,956.0,0.003637536894530058,-0.010309718549251556,-0.007997221313416958
295,149.0,959.0,959.0,-0.002868503564968705,0.004254432860761881,0.003264410188421607
296,149.0,962.0,962.0,0.00100604014005512,-0.00028650701278820634,-0.0009288406581617892
297,151.0,969.0,969.0,0.0004218483227305114,0.0012918870197609067,-0.002508477307856083
298,151.0,972.0,972.0,0.003525448264554143,-0.004962397273629904,-0.0024957736022770405
299,151.0,975.0,975.0,-0.0018425168236717582,0.008183808997273445,-0.005865037906914949
300,151.0,978.0,978.0,-0.004388881381601095,-0.004983729217201471,-0.005941519979387522
301,152.0,981.0,981.0,-0.005009871441870928,0.005303220823407173,-0.009743050672113895
302,152.0,984.0,984.0,-0.004917248617857695,0.0043936679139733315,-0.009358745068311691
303,153.0,987.0,987.0,-0.020405679941177368,0.0012344039278104901,-0.007639685645699501
304,153.0,990.0,990.0,0.0005291997222229838,0.0008992016664706171,-0.007553311064839363
305,154.0,993.0,993.0,0.00034922914346680045,0.00020253098045941442,0.005510051269084215
306,154.0,996.0,996.0,-0.0011534986551851034,0.007342672906816006,-0.009723858907818794
307,154.0,999.0,999.0,0.0032287975773215294,-0.004511984530836344,-0.007698593195527792
308,155.0,1002.0,1002.0,0.002662814687937498,0.002319502644240856,0.0024719240609556437
309,155.0,1005.0,1005.0,-0.002747319405898452,-0.001965300180017948,0.000990698579698801
310,156.0,1008.0,1008.0,-0.004099391400814056,-0.0010142020182684064,-0.002775968052446842
311,156.0,1011.0,1011.0,0.004036404192447662,0.001292963745072484,-0.0005526563036255538
312,157.0,1015.0,1015.0,-0.005836861673742533,-0.003214112715795636,-0.008735192008316517
313,157.0,1018.0,1018.0,-0.0036815935745835304,-0.00261901319026947,-0.027924031019210815
314,158.0,1021.0,1021.0,0.0005547430482693017,0.007810552604496479,0.0064330254681408405
315,158.0,1023.0,1023.0,0.0037689360324293375,0.0014900652458891273,-0.0016101297223940492
316,158.0,1027.0,1027.0,-0.001248129177838564,-0.0011160896392539144,-0.0020602515432983637
317,159.0,1030.0,1030.0,-0.004122815560549498,-0.002919064136222005,-0.003929189871996641
